type,floor,d,fill_rule
stairs,RC,M1344.5 246H1380.5V264H1344.5V246Z,
stairs,RC,M876 248.5H800.5V234H787V208.5H876V248.5Z,
stairs,RC,M941.5 222H981.5V235H941.5V222Z,
stairs,RC,M137.5 703H143.5V717.5H137.5V759.5H52V734.5H45V721H52V697H105V705H114.5V685.5H105V672.5H137.5V703Z,
stairs,RC,M977.5 557H941V570H977.5V557Z,
stairs,RC,M977.5 575H941V601.5H977.5V575Z,
stairs,RC,M941 605.5H977.5V618H941V605.5Z,
stairs,RC,M539 572.5H573V611H560V615H554V611H539C534.333 610.667 525 606.1 525 590.5C525 574.9 534.333 572 539 572.5Z,
stairs,RC,M725 586.5H717V596.5H725V608H739V615.5H754.5V608H769V596.5H777.5V586.5H769V573.5H725V586.5Z,
stairs,RC,M1501.5 590H1511.5V613H1501.5V590Z,
ground,N1,M1069.5 83L215.5 2V77L507 105.5V270H919V286H1091.5V529H919V544.5H507V705.5L314.5 711.5V661H85.5V691H42V780.5L1073.5 757.5L1069.5 594.5H1100V640.5H1550.5V199.5H1100V206.5H1073.5L1069.5 83ZM573 107V201H715.5V120L573 107ZM786 126.5V201H925.5V140L786 126.5ZM976.5 201H1016.5V148L976.5 144.5V201ZM571 615V714L715.5 711V615H571ZM916 615H783.5V709L916 706V615ZM1178 283.5V544H1470V283.5H1178Z,evenodd
